country,书籍,家居,服装,电子产品,食品
中国,0.2002309246608294,0.19898008274800347,0.205426729529491,0.19878764553064562,0.1965746175310305
俄罗斯,0.20053423031262366,0.20241392956074397,0.19410368025326474,0.20132568262762168,0.20162247724574595
印度,0.2099826122532474,0.1912652142784085,0.19883399815894445,0.19965224506494836,0.20026593024445127
巴西,0.1999388877571807,0.2027907924220819,0.19749439804440824,0.1983092279486657,0.20146669382766347
德国,0.1974064837905237,0.19860349127182045,0.19132169576059851,0.2083790523690773,0.20428927680798006
日本,0.2007913961038961,0.1936891233766234,0.19937094155844157,0.20221185064935066,0.20393668831168832
法国,0.20103503184713375,0.19904458598726116,0.19944267515923567,0.19715366242038215,0.20332404458598727
澳大利亚,0.19521952195219522,0.2074207420742074,0.19841984198419843,0.20272027202720272,0.19621962196219622
美国,0.20421490056396557,0.2022360740081132,0.19382606114574058,0.20035618878005343,0.19936677550212722
英国,0.20204681325362245,0.19252203870706253,0.20235079542000203,0.19566318775965144,0.20741716485966158
